user_id,item_id,rating,timestamp
901,498,4,877131990
658,98,4,875147800
847,93,1,878775570
481,692,4,885828339
22,110,1,878887157
389,95,3,880165832
378,692,4,880045580
271,317,3,885848863
118,7,5,875385198
145,767,2,879161882
815,131,2,878698449
146,313,4,891457591
504,100,5,887831486
18,170,5,880130515
286,552,3,877535072
804,928,4,879443736
882,151,5,879862327
881,575,2,876539330
60,199,5,883326339
577,96,4,880474257
207,546,3,876018553
506,972,3,874874760
717,291,4,884642479
13,358,3,881515521
727,235,3,883709518
712,842,3,874957160
671,98,4,883949357
149,337,2,883512968
872,1061,4,888479701
360,531,4,880355678
521,402,3,885253501
524,286,5,884287379
778,132,2,891232769
613,176,5,891227237
438,866,5,879868529
244,1039,4,880607570
311,318,5,884364569
711,1046,3,879994367
267,54,3,878973922
405,697,1,885545883
849,172,5,879695469
330,225,4,876544507
723,258,4,880498768
788,540,3,880871394
854,129,3,882812165
790,184,3,885156958
5,121,4,875635189
843,420,3,879448073
190,313,5,891033606
405,770,1,885548048
428,750,5,885943651
381,652,5,892696252
374,230,5,880396622
301,425,4,882077033
234,1184,2,892079237
500,1226,4,883865715
548,226,5,891044596
846,200,4,883948685
122,699,5,879270541
312,183,5,891699182
642,423,3,885602506
429,276,5,882385542
497,234,2,879361847
497,951,2,879363695
774,175,3,888555897
81,288,3,876533229
737,64,4,884314740
568,474,5,877907834
236,176,2,890115933
658,527,5,875147800
664,317,3,878095280
561,24,3,885807776
342,26,2,875320037
301,71,4,882077007
747,183,5,888732899
218,663,3,877488492
321,1194,5,879438607
883,1041,3,891694603
292,222,3,881105195
314,280,3,877887034
606,7,4,878143509
500,88,4,883875926
60,211,4,883327493
11,8,4,891904949
921,215,4,879380677
254,97,5,887346963
416,70,5,893213019
595,825,2,886921606
366,445,5,888857932
416,9,5,893212572
406,22,3,882480671
835,180,5,891033675
751,274,4,889298694
447,546,2,878854704
804,513,5,879441937
608,234,5,880404847
6,310,2,883268353
256,583,5,882164603
6,496,4,883601155
869,284,1,884491966
487,265,5,883530236
59,198,5,888204389
325,58,3,891478333
389,257,3,879916077
669,121,3,892549673
290,121,4,880475266
716,546,1,879794094
33,343,4,891964344
650,476,2,891388080
840,750,4,891202784
269,281,1,891451590
1,59,5,876892817
332,118,5,887938330
705,755,5,883427691
709,441,4,879848239
43,301,5,875975135
184,694,5,889908824
711,317,4,879993173
453,151,3,877552970
389,675,3,880165702
313,542,3,891017585
365,108,2,891304019
405,181,5,885547909
295,318,5,879517010
621,686,5,880739852
299,715,4,889503441
851,690,4,891961166
615,13,4,879449184
49,625,3,888067031
741,70,4,891456573
194,69,4,879521595
326,480,4,879875691
91,682,2,891438184
786,183,4,882843150
95,49,3,879198604
823,1,4,878438206
244,1428,4,880603411
588,566,2,890023557
868,200,3,877107189
771,202,4,880659941
749,1092,3,878850703
276,928,3,874836629
345,1096,3,884994682
537,708,3,886031860
472,1029,4,875983321
655,204,3,887477192
932,109,2,891251891
271,285,4,885847876
748,527,5,879454749
435,567,3,884133785
374,930,2,880394179
82,235,1,876311517
13,771,3,882398410
373,627,4,877105901
339,153,4,891033932
336,738,1,877757343
271,1,3,886106038
456,380,3,881375097
764,472,3,876243925
10,40,4,877892438
308,511,5,887737130
405,425,2,885546112
445,823,1,891200624
454,371,3,888267198
943,423,3,888639231
807,543,2,892528427
916,697,4,880844937
731,168,1,886185744
634,924,4,877017810
896,715,3,887159895
932,1184,3,891250169
675,235,1,889490151
598,750,5,886711452
303,386,4,879485352
305,357,5,886323189
437,660,4,880141441
435,751,4,884130725
854,479,4,882813623
181,593,1,878962349
293,176,4,888906536
872,106,3,888479624
798,94,3,875914939
151,204,4,879524641
545,151,4,880348074
549,411,3,881672667
18,13,5,880131497
344,559,3,884901351
923,815,4,880387792
184,1137,5,889907812
869,412,5,884493279
479,117,3,889125627
877,185,4,882678387
332,983,2,887938886
1,111,5,889751711
542,56,5,886532706
908,447,3,879722850
548,284,3,891415619
451,873,5,879012684
880,376,3,880175239
405,570,1,885546487
885,79,4,885715803
89,724,4,879460027
716,661,3,879794870
246,739,2,884922678
90,607,5,891384673
160,174,5,876860807
376,815,3,879459207
373,655,5,877098374
42,627,2,881109271
943,172,4,888638940
116,421,3,876453800
560,319,4,879975173
194,62,2,879524504
661,615,4,876013774
648,185,5,884368485
541,278,2,883875063
782,1385,4,891500028
297,111,3,874955085
537,443,3,886031752
506,97,4,874873374
498,237,2,881957625
363,1067,3,891496849
881,625,5,876538465
389,216,2,879991387
318,524,3,884496123
606,692,5,880924790
110,1228,3,886988689
711,116,5,888458447
291,416,4,875087100
297,7,4,874954541
617,448,3,883789507
334,961,4,891628832
334,153,4,891547306
919,462,3,875372844
746,144,5,885075211
345,1048,2,884991436
342,251,5,875318267
500,175,5,883874341
54,250,4,880933834
60,423,4,883326593
666,405,2,880313662
492,172,3,879969415
77,210,3,884753028
354,507,3,891306892
503,640,1,880383201
642,1029,3,885606271
532,834,4,874796151
234,499,4,892334141
95,1219,1,888956489
